,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File type,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
34,2.212,73.02829,Unknown,[M-H]-,,1,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,26.17,201110_Std_4uMStdsMix2InH2O_20neg1,73.02827:751841 74.03162:67882 75.03498:0,51.37661:2911 51.74126:4213 64.56833:3472 69.16301:3464 72.99178:8013 73.02826:147201 73.03063:7332,74,74,62,69,53,55,14,3
35,11.048,73.02831,Unknown,[M+FA-H]-,found in higher mz's MsMs_264; found in higher mz's MsMs_262; adduct linked to 1_[M+Cl]-; found in higher mz's MsMs_396,1,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,283.81,201110_Std_4uMStdsMix2InH2O_20neg1,73.02826:7916056 74.03161:430978 75.03497:0,55.01761:7988 65.28883:4020 70.16349:3154 72.99187:16219 73.02825:140537,503,488,497,516,548,538,619,592
36,12.722,73.02831,Unknown,[M+FA-H]-,adduct linked to 1_[M+Cl]-,0.5,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,186.92,201110_Std_4uMStdsMix2InH2O_20neg2,73.02831:7969848 74.03166:288413 75.03502:0,53.3297:4848 55.01768:8226 72.8678:6612 72.99193:24095 73.0283:3482951 73.18925:5519,-2,497,661,-2,537,527,-2,-2
37,19.64,74.02351,Unknown,[M-H]-,adduct linked to 133_[M+Na-2H]-; adduct linked to 282_[M+FA-H]-; found in higher mz's MsMs_243,0.5,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,566.94,201110_Std_4uMStdsMix2InH2O_20neg1,74.02351:21475630 75.02686:774574 76.03022:92752,50.17173:10516 57.99219:4812445 58.00475:252984 59.01258:140892 59.98402:461334 63.69568:13013 74.00241:111821 74.02351:3065822,649,-2,662,-2,785,-2,820,-2
38,14.687,74.02354,Unknown,[M-H]-,adduct linked to 134_[M+Na-2H]-; adduct linked to 220_[M+Cl]-; adduct linked to 698_[2M+FA-H]-; found in higher mz's MsMs_255,0.625,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,15.6,201110_Std_4uMStdsMix2InH2O_20neg1,74.02351:423555 75.02686:0 76.03022:0,51.31333:3003 52.74003:3268 56.24207:3425 57.99219:46480 58.68118:3277 59.98409:7699 60.66484:3243 66.14733:3383 73.7054:3514 73.73276:3295 74.02351:90815,586,601,595,-2,664,721,-2,-2
39,11.275,74.02354,Unknown,[M-H]-,,0.125,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,2.36,201110_Std_4uMStdsMix2InH2O_20neg1,74.02354:139751 75.02689:0 76.03025:0,,498,-2,-2,-2,-2,-2,-2,-2
40,5.734,74.03159,Unknown,[M-H]-,,0.125,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,3.14,201110_Std_4uMStdsMix2InH2O_20neg1,74.03159:53734 75.03494:0 76.0383:0,,295,-2,-2,-2,-2,-2,-2,-2
41,2.687,74.9896,Unknown,[M-H]-,,0.125,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,3.98,201110_Std_4uMStdsMix2InH2O_50neg1,74.9896:57244 75.99295:0 76.99631:0,,-2,-2,-2,-2,142,-2,-2,-2
42,17.32,74.99264,Unknown,[M+Na-2H]-,adduct linked to 108_[M+K-2H]-; found in higher mz's MsMs_108,0.125,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,17.31,201110_Std_4uMStdsMix2InH2O_35neg1,74.99264:840985 75.99599:354854 76.99935:381659,56.36908:3406 56.90261:3500 57.25671:3396 57.99217:9610 59.96608:9543 60.99171:3740 61.75958:3261 72.99189:25873 74.99261:594814 75.00755:439041 75.01865:3918,-2,-2,630,-2,-2,-2,-2,-2
43,21.481,75.00755,Unknown,[M-H]-,,0.125,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,22.19,201110_Std_4uMStdsMix2InH2O_35neg1,75.00755:3386809 76.0109:294043 77.01426:29300,,-2,-2,704,-2,-2,-2,-2,-2
