"feature","mzmed","rtmed","adduct_type"
"FT1303",299.100577780524,156.460830688477,"C13"
"FT1305",300.092455963321,157.818473815918,"S34"
"FT1306",300.101988887134,158.399833679199,"O18"
"FT1307",300.201691955203,116.751495361328,"NH4"
"FT1308",301.096259919618,157.6923828125,"C13"
"FT1318",304.122222632585,588.589965820312,"C13"
"FT1326",307.163745881568,121.85177230835,"C13"
"FT1339",315.09562545836,239.982009887695,"C13"
"FT1343",319.987677848346,787.791748046875,"S34"
"FT1347",324.128875732422,724.493713378906,"NH4"
"FT1360",331.063757021619,355.373657226562,"C13"
"FT1367",334.132869061364,605.095581054688,"C13"
"FT1369",335.134303684789,605.466156005859,"O18"
"FT1370",335.194432471069,126.233489990234,"C13"
"FT1376",338.050156252291,551.208953857422,"S34"
"FT1382",340.047304771071,552.145843505859,"S34"
"FT1384",342.044337217453,553.201904296875,"S34"
"FT1387",344.228010962465,114.380996704102,"NH4"
"FT1389",345.23143772935,113.282272338867,"C13"
"FT1392",346.081906579304,627.079620361328,"C13"
"FT1398",348.148436244351,374.99462890625,"C13"
"FT1405",351.932437677212,787.906005859375,"S33"
"FT1407",352.928172509969,787.493591308594,"S34"
"FT1423",363.01553769249,788.361907958984,"NH4"
"FT1426",365.010831402725,787.80654,"S34"
"FT1436",370.93881456311,787.560974121094,"S34"
"FT1437",371.112630334115,119.707542419434,"mH2OpH"
"FT1442",372.190439303252,658.080139160156,"C13"
"FT1465",386.132522529149,525.973114013672,"C13"
"FT1466",387.122925281183,525.677917480469,"S34"
"FT1473",389.25745058506,110.274169921875,"C13"
"FT1474",391.05337633346,549.435607910156,"S34"
"FT1476",392.959141697255,787.134338378906,"S33"
"FT1477",393.05033838172,548.815307617188,"S34"
"FT1479",393.954726355199,787.560974121094,"S34"
"FT1490",402.128684342049,311.728698730469,"C13"
"FT1497",406.149620798491,120.813751220703,"NH4"
"FT1511",419.194676711514,117.650012969971,"C13"
"FT1515",421.902098684642,791.27392578125,"S33"
"FT1525",433.283493505524,108.428100585938,"C13"
"FT1526",435.218088436134,117.191036224366,"NH4"
"FT1527",435.410782359299,87.1419258117675,"mH2OpH"
"FT1532",444.056764332685,553.034027099609,"S34"
"FT1536",446.053750827772,554.411895751953,"S34"
"FT1538",448.050839783975,553.141052246094,"S34"
"FT1539",448.050870376022,538.594665527344,"S34"
"FT1542",450.047878524147,554.909240722656,"S34"
"FT1549",466.926489439349,787.80654,"S33"
"FT1550",467.922327537639,787.733703613281,"S34"
"FT1551",468.921793122624,788.309997558594,"S33"
"FT1552",469.918157813657,787.906005859375,"S34"
"FT1554",478.009704825707,787.793223613281,"NH4"
"FT1556",479.008196238202,787.493591308594,"S33"
"FT1557",480.004886892611,787.666625976562,"S34"
"FT1561",488.18192555566,398.799575805664,"C13"
"FT1565",495.869593842672,787.733703613281,"S33"
"FT1566",496.865625075171,787.580078125,"S34"
"FT1567",497.059979857279,554.948638916016,"S34"
"FT1568",499.057018775495,553.975463867188,"S34"
"FT1572",504.709106107243,189.871803283692,"S34"
"FT1584",550.063236013799,553.137390136719,"S33"
"FT1585",551.061772442884,554.854858398438,"S34"
"FT1586",552.06030839005,554.119689941406,"S33"
"FT1587",553.05888139923,553.975463867188,"S34"
"FT1588",554.057285292505,554.998962402344,"S34"
"FT1590",555.055925146488,552.133605957031,"S34"
"FT1591",556.054311883635,553.144714355469,"S34"
"FT1599",581.920296943415,787.672668457031,"S33"
"FT1601",582.916512101139,787.856272929688,"S34"
"FT1603",584.913091329932,787.540283203125,"S34"
"FT1605",593.003544344109,788.309997558594,"NH4"
"FT1607",594.9996100658,787.802429199219,"S34"
"FT1619",696.91428367904,788.311401367188,"S33"
"FT1620",696.914523211357,788.182434082031,"S33"
"FT1621",697.910788411796,787.906005859375,"S34"
"FT1622",698.910844084864,787.906005859375,"S33"
"FT1623",699.907824539893,787.666625976562,"S34"
"FT1627",709.072987933552,550.347015380859,"S34"
"FT1628",709.99417652741,787.779907226562,"S34"
"FT1629",710.071266398131,553.137390136719,"S34"
"FT1630",711.069912485406,544.384704589844,"S34"
"FT1632",712.068249625301,554.230041503906,"S34"
"FT1633",714.065172005711,554.983299523437,"S34"
"FT1634",715.064058716382,533.6943359375,"S34"
"FT1635",716.061852557436,553.051452636719,"S34"
"FT1636",717.061066884686,550.380065917969,"S34"
"FT1637",719.058206776421,552.052795410156,"S34"
"FT1638",721.055249551048,543.920532226562,"S34"
"FT1641",787.167192592414,534.295806884766,"S33"
"FT1644",811.907907762453,787.580078125,"C13"
"FT1645",812.904848698509,787.906005859375,"S34"
"FT1648",824.988238699692,787.55859375,"S34"
"FT1649",872.076447613676,554.884857177734,"S34"
