mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,Fate1MT0,Fate1MT12,Fate1MT36,Fate1MT4,Fate1MT50,Fate1MT8,Fate1MTlong,Fate2MT0,Fate2MT12,Fate2MT24,Fate2MT48,Fate2MT5,Fate2MTlong,Poo,peakidx,ms_level
90.5263540862903,90.52629696517079,90.52640340890109,600.08258056640625,597.67974853515625,603.28009033203125,25,1,2,2,2,0,2,3,2,1,1,2,2,2,3,"c(5518, 27972, 33822, 40657, 53728, 64503, 71122, 76752, 91208, 117301, 125059, 133540, 141340, 148220, 187695, 205895, 218073, 231249, 237087, 253755, 264783, 289895, 295619, 303139, 314805, 319050, 322219, 324852, 334651, 340127, 349971, 354198, 356653, 358930, 372567, 374718, 378233, 381752, 387083, 393889, 398237, 404864, 410193, 415238, 417660, 419902, 429445)",1
90.52634990877418,90.52628937892568,90.52641025479927,132.96621704101562,130.88458251953125,135.29351806640625,22,1,2,0,1,2,2,2,1,1,0,1,2,1,6,"c(5437, 33773, 40595, 53684, 64543, 71087, 105086, 110762, 125021, 133533, 141293, 148186, 162862, 176668, 187666, 194135, 212024, 231242, 237066, 253697, 284691, 303062, 319051, 322220, 324853, 327515, 334652, 340128, 347786, 349972, 352021, 354199, 361145, 372568, 381753, 391575, 395833, 398238, 404865, 410194, 412886, 415239, 417661, 424325, 429446, 431909)",1
90.52636261689283,90.52629079783702,90.52641653221438,505.2321472167969,501.1711730957031,508.2849426269531,31,1,3,2,2,2,2,1,3,1,1,2,2,1,6,"c(5513, 27957, 33818, 40602, 53761, 58927, 64515, 71127, 76740, 91193, 105066, 110743, 117369, 141370, 148191, 162881, 176673, 187672, 187741, 194165, 205891, 211996, 218101, 231248, 231318, 237086, 253708, 264801, 284695, 295554, 303091, 319052, 322221, 349973, 354200, 363508, 365650, 372569, 376846, 381754, 398239, 404866, 410195, 415240, 417662, 422111, 429447, 431910)",1
90.5263589020342,90.5263084423412,90.52643414213387,287.21885681152344,282.9374694824219,289.63116455078125,26,1,3,1,2,2,1,2,1,1,1,2,1,2,4,"c(5461, 21473, 33830, 53722, 58921, 64491, 64547, 71112, 76760, 105065, 110751, 117362, 125071, 141296, 162863, 176708, 194204, 218098, 231274, 253728, 264775, 264820, 284774, 295551, 303096, 314822, 319053, 322222, 327516, 332402, 334653, 349974, 352022, 354201, 365651, 370541, 372570, 381755, 384303, 391576, 393890, 398240, 402544, 404867, 410196, 415241, 417663, 422112, 429448)",1
90.5263719392373,90.5262913452693,90.52642173664297,420.2860107421875,416.4330749511719,423.39422607421875,29,1,1,1,3,2,1,3,2,1,1,3,0,2,6,"c(5471, 21468, 27986, 33817, 53689, 71115, 76718, 105062, 105122, 110742, 117365, 125074, 133568, 141299, 148209, 162918, 176672, 187739, 194138, 211969, 218123, 253714, 253776, 264809, 284764, 289843, 295575, 303079, 314825, 319054, 322223, 332403, 334654, 340129, 349975, 352023, 354202, 372571, 381756, 391577, 398241, 400423, 402545, 404868, 410197, 415242, 417664, 429449)",1
90.52638015668626,90.52632146624516,90.52645973897836,208.7481460571289,205.67779541015625,211.22129821777344,24,1,2,2,1,1,2,2,2,1,0,3,2,1,4,"c(5447, 33814, 40670, 53712, 58925, 71137, 76733, 91228, 105113, 117340, 125067, 141294, 162876, 176714, 194181, 212010, 218076, 231312, 237070, 253741, 284759, 289860, 295595, 314834, 319055, 322224, 324854, 349976, 358931, 365652, 372572, 391578, 398242, 404869, 410198, 415243, 417665, 426724, 429450)",1
90.52638317180927,90.52632227358022,90.52643349934742,80.0369873046875,76.43096160888672,83.55473327636719,26,0,3,1,3,1,1,3,1,1,1,3,0,2,4,"c(21492, 27977, 33813, 40628, 58936, 64526, 71111, 76749, 110704, 117356, 125087, 133583, 141323, 162904, 162930, 187727, 194168, 218093, 253726, 264789, 284738, 284755, 289882, 295594, 303124, 314820, 316348, 319056, 322225, 337336, 349977, 352024, 354203, 356654, 370542, 372573, 376847, 378234, 381757, 391579, 393891, 398243, 400424, 402546, 404870, 410199, 415244, 417666, 429451)",1
90.52635608524632,90.52629410295434,90.52642706938703,343.7093048095703,338.90008544921875,348.4620056152344,38,1,3,2,3,2,2,2,2,2,1,3,1,2,6,"c(5470, 21456, 21511, 27964, 33806, 40651, 40652, 53714, 58969, 64521, 71152, 76727, 76762, 91195, 105121, 110772, 110773, 125049, 133561, 141350, 141365, 148206, 162883, 176686, 187693, 194157, 211988, 218120, 231265, 245496, 253719, 253774, 264766, 284716, 289823, 295598, 303089, 314789, 319057, 322226, 334655, 349978, 354204, 361146, 372574, 381758, 391580, 398244, 402547, 410200, 415245, 417667, 429452)",1
90.52637214464995,90.52629738512064,90.52641493353909,449.5422668457031,445.5146789550781,451.8774719238281,28,1,3,2,2,2,2,2,1,1,1,2,2,2,4,"c(5478, 21469, 27956, 40618, 53701, 58943, 64514, 71126, 76787, 91207, 105063, 110736, 117366, 117367, 133599, 141310, 148190, 162866, 194174, 218126, 231290, 237045, 253733, 264776, 289825, 295600, 303112, 314840, 319058, 322227, 329829, 334656, 349979, 363509, 372575, 378235, 381759, 384304, 391581, 404871, 410201, 415246, 417668, 429453)",1
90.52636629456092,90.52629925933772,90.52641499056455,151.86988067626953,149.19821166992187,153.884521484375,22,0,2,1,2,2,2,3,2,1,1,1,1,0,4,"c(21466, 33802, 40635, 53736, 58961, 64489, 76778, 105097, 110723, 117357, 125089, 133573, 141347, 162885, 176701, 187701, 211964, 218116, 237079, 253740, 264817, 289886, 316349, 319059, 322228, 327517, 334657, 349980, 352025, 354205, 370543, 372576, 381760, 387084, 391582, 398245, 400425, 404872, 410202, 415247, 424326, 426725, 429454, 431911)",1
