"feature","mzmed","rtmed","avgarea","C13","X2C13","S34","S33","N15","O18","Na","NH4","H2O_H","K","X2H"
"FT0239",119.06067203846,208.095962524414,463690.504870485,0,0,0,0,0,0,0,0,0,0,0
"FT0240",119.060688347898,260.183532714844,435442.055385014,0,0,0,0,0,0,0,0,0,0,0
"FT0241",119.06064314835,390.590866088867,2157233.6315846,0,0,0,0,0,0,0,0,0,0,0
"FT0244",119.08979662067,424.210632324219,3522313.41799819,0,0,0,0,0,0,0,0,0,0,0
"FT0245",120.032553253768,231.496337890625,1490401.37152525,0,0,0,0,799286,0,0,0,0,0,0
"FT0246",120.06579161387,587.076293945312,5952504.36115534,0,0,0,0,0,0,0,0,0,0,0
"FT0247",120.065756789831,570.964324951172,3571117.47204583,0,0,0,0,0,0,0,0,0,0,0
"FT0251",120.972510404919,1194.82788085938,86261113.7651982,0,0,0,0,0,0,0,0,0,0,0
"FT0252",120.972444427497,1224.78112792969,90221975.1706588,0,0,0,0,0,0,0,0,0,0,0
"FT0253",121.032016412326,414.843811035156,280962631.863278,11789980,0,12487792,2150047,0,0,0,0,0,0,0
"FT0255",121.064999181714,210.979080200195,22985938.6256275,0,0,0,0,0,0,0,0,0,0,0
"FT0256",121.068453861704,658.630004882812,1880773.0567687,0,0,0,0,0,0,0,0,0,0,0
"FT0257",121.068424869358,618.064117431641,5302448.43166081,0,0,0,0,0,0,0,0,0,0,0
"FT0258",121.068427466464,556.429321289062,2787209.02173674,0,0,0,0,0,0,0,0,0,0,0
"FT0259",121.084368977856,263.033279418945,1422475.38413749,0,0,0,0,0,0,0,0,0,0,0
"FT0260",121.10227389425,469.06297302246,4221577.82686055,0,0,0,0,0,0,0,0,0,0,0
"FT0261",121.966384297509,184.406433105468,1771945.13215046,0,0,0,0,0,0,0,0,0,0,0
"FT0262",121.973333101874,1195.666015625,9547339.26183924,0,0,0,0,10739057,0,0,0,0,0,0
"FT0263",122.006492614746,1252.94354248047,70448938.2975767,0,0,0,0,0,0,0,0,0,0,0
"FT0264",122.006539843143,1191.01000976562,92767804.9037521,0,0,0,0,0,0,0,0,0,0,0
"FT0265",122.006555771372,465.971771240234,9605702.64610446,0,0,0,0,0,0,0,0,0,0,0
"FT0270",122.068353030473,201.656143188477,3319370.77485409,0,0,0,0,0,0,0,0,0,0,0
"FT0271",122.071543499432,553.037475585938,1512236.47030519,0,0,0,0,0,0,0,0,0,0,0
"FT0272",122.081448508027,424.220092773438,25235091.4503959,0,0,0,0,0,0,0,0,0,0,0
"FT0273",122.108473762438,449.80810546875,13298129.1198161,0,0,0,0,0,0,0,0,0,0,0
"FT0274",122.970080090284,1236.82257080078,7301371.92883589,0,0,0,0,0,0,0,0,0,0,0
"FT0275",123.007383233291,1191.05126953125,9795094.77906326,0,0,0,0,10784145,0,0,0,0,0,0
"FT0276",123.00730413709,1224.9560546875,8086609.27590724,0,0,0,0,0,0,0,0,0,0,0
"FT0279",123.055491691644,155.803665161133,43423719.7791021,2819359,0,0,0,0,0,0,0,0,0,0
"FT0280",123.084743748449,424.113082885742,782435.695785075,0,0,0,0,0,0,0,0,0,0,0
"FT0281",123.096950574851,344.005889892578,11986241.4814163,488924427,0,0,0,0,0,0,0,0,0,0
"FT0282",123.103132795929,344.132110595703,4126075.66558877,0,0,0,0,475779594,0,0,0,0,0,0
"FT0283",123.114726634931,449.838790893554,55987077.617415,3028337,0,0,0,0,0,0,0,0,0,0
"FT0284",124.003999564963,1225.20343017578,7887998.45678705,0,0,0,0,0,0,0,0,0,0,0
