mz,mz_obs,compound,file_name,rt,rtmin,rtmax,MS2s
166.97455,166.97435,PEP,201110_Std_4uMStdsMix1InH2O_35neg2,13.306,12.505999999999998,14.106,"78.95785, 100; 68.99451, 1"
173.00862,173.00853,Aconitic Acid,201110_Std_4uMStdsMix1InH2O_35neg2,13.33,12.53,14.13,"85.02832, 100; 154.94648, 13.3; 129.0183, 11.4; 111.00766, 10.1; 172.95716, 1.2"
173.045,173.04483,Shikimic Acid,201110_Std_4uMStdsMix1InH2O_35neg2,9.986,9.186,10.786000000000001,"154.94653, 100; 93.03343, 30.8; 73.02831, 20.1; 111.04406, 13.4; 172.95728, 12.3; 137.02344, 8.1; 83.04908, 7.7; 99.04402, 5.5; 99.00765, 4.9; 76.96885, 3.5; 85.02834, 3.5; 173.04495, 2.3; 81.03334, 1.9; 155.03416, 1.9; 71.0126, 1.8; 94.97942, 1.6; 129.01821, 1.5; 143.03403, 1.4; 132.05576, 1.2; 59.01262, 1.1; 129.05466, 0.9; 57.03334, 0.9; 69.03334, 0.8; 65.01322, 0.7; 119.02415, 0.6; 91.02899, 0.6"
184.98512,184.98505,Phosphoglyceric Acid,201110_Std_4uMStdsMix1InH2O_35neg2,12.913,12.113,13.713000000000001,"96.96845, 100; 78.95785, 75.5; 184.98499, 1.5; 184.98502, 1.1; 185.08221, 1.1; 185.15384, 0.9; 166.97408, 0.8; 185.11796, 0.6"
188.05589,188.05588,Acetylglutamic acid,201110_Std_4uMStdsMix1InH2O_35neg2,10.415,9.614999999999998,11.215,"102.0549, 100; 128.03426, 83; 59.01262, 47.5; 100.07564, 27.2; 144.06567, 24.3; 58.02861, 11.5; 170.04514, 9.4; 188.056, 8.8; 146.04494, 8.1; 126.05503, 6.6; 100.03931, 3.8; 84.04431, 2.2; 85.02839, 1; 98.02358, 0.9; 74.02356, 0.9; 98.05996, 0.8; 82.02859, 0.7; 126.05492, 0.7; 146.04527, 0.6"
191.01918,191.0192,Isocitric Acid,201110_Std_4uMStdsMix1InH2O_35neg2,13.812,13.011999999999999,14.612,"111.00763, 100; 85.02831, 42.4; 117.01819, 24; 72.99191, 18.5; 73.02827, 16.1; 154.99768, 12.8; 129.01828, 11.2; 173.00843, 8.8; 101.02322, 3.1; 99.00756, 2.7; 191.01903, 2.7; 103.03886, 1.4; 87.00749, 1; 57.03341, 0.8; 67.01767, 0.7"
205.03571,205.03587,Lipoic Acid,201110_Std_4uMStdsMix1InH2O_35neg2,2.208,1.4080000000000001,3.008,"64.9513, 100; 205.15938, 80.6; 93.06982, 33.2; 127.05765, 27.6; 63.94347, 26.6; 171.04774, 20.2; 218.52872, 12.9; 218.54213, 4.5; 58.99492, 3.5; 79.9562, 3.2; 56.99458, 2.8; 139.07555, 2.5; 66.27966, 2; 65.22315, 1.9; 159.04788, 1.8; 169.5036, 1.7; 93.4911, 1.6; 134.03922, 1.5; 50.50336, 1.5"
241.08244,241.08301,Thymidine,201110_Std_4uMStdsMix1InH2O_35neg2,3.406,2.606,4.206,"217.88157, 100; 216.66256, 95; 125.03462, 71.2; 216.67851, 50.9; 241.21737, 38.1; 217.86728, 31.3; 217.86497, 27.5; 216.67233, 24.3; 151.0505, 22; 216.65349, 16.4; 216.6927, 11.2; 240.87064, 8.6; 65.01379, 8.4; 241.08231, 8.3; 111.90826, 8.1; 245.41844, 7.6; 95.0801, 7.4; 136.50117, 7.3; 123.74236, 7.3; 217.85405, 7.2; 114.89087, 7.1; 186.78169, 7.1; 128.1886, 7.1; 251.01924, 7; 235.8837, 6.9; 108.09618, 6.9; 157.21925, 6.9; 141.56758, 6.8; 80.40605, 6.7; 84.95655, 6.7; 197.03867, 6.7; 70.15797, 6.7; 81.72757, 6.6; 67.56866, 6.6; 112.48073, 6.6; 66.82956, 6.5; 94.53325, 6.5; 81.47785, 6.5; 165.17783, 6.5; 58.06141, 6.4; 130.77084, 6.4; 172.04309, 6.4; 90.59359, 6.4; 67.89524, 6.4; 116.78866, 6.3; 146.82262, 6.3; 102.89771, 6.2; 130.96112, 6.2; 61.12807, 6; 56.80615, 6; 188.45169, 6; 53.22958, 6; 129.48119, 6; 66.87853, 6; 128.45221, 5.8; 78.58614, 5.8; 57.51181, 5.8; 54.02766, 5.7; 112.98067, 5.7; 131.38531, 5.5; 51.75517, 5.1"
259.02191,259.02267,Glucose 6 phosphate,201110_Std_4uMStdsMix1InH2O_35neg2,12.84,12.04,13.64,"96.96846, 100; 78.95785, 33.6; 138.9792, 4.9; 217.48424, 1.9; 101.02328, 1.2; 227.21007, 0.6"
259.02267,259.02267,Fructose 6 phosphate,201110_Std_4uMStdsMix1InH2O_35neg2,12.193,11.392999999999999,12.993,"96.96846, 100; 78.95785, 33.6; 138.9792, 4.9; 217.48424, 1.9; 101.02328, 1.2; 227.21007, 0.6"
