Mass [m/z],Formula [M],Formula type,Species,CS [z],Polarity,Start [min],End [min],(N)CE,(N)CE type,MSX ID,Comment
860.5436,NA,NA,NA,NA,Positive,13.74476706,17.74476706,NA,NA,NA,NA
860.6252,NA,NA,NA,NA,Positive,20.06437815,24.06437815,NA,NA,NA,NA
860.6375,NA,NA,NA,NA,Positive,22.57581762,27.09063222,NA,NA,NA,NA
860.6768,NA,NA,NA,NA,Positive,24.83634252,29.92476911,NA,NA,NA,NA
860.7191,NA,NA,NA,NA,Positive,29.88774603,33.88774603,NA,NA,NA,NA
860.7707,NA,NA,NA,NA,Positive,29.35011163,33.95835002,NA,NA,NA,NA
860.8071,NA,NA,NA,NA,Positive,37.39645139,41.39645139,NA,NA,NA,NA
861.6009,NA,NA,NA,NA,Positive,23.41178418,28.75631115,NA,NA,NA,NA
861.6948,NA,NA,NA,NA,Positive,27.92555329,32.5818105,NA,NA,NA,NA
862.5528,NA,NA,NA,NA,Positive,9.48229142,13.98783195,NA,NA,NA,NA
862.5593,NA,NA,NA,NA,Positive,15.17040751,19.68522212,NA,NA,NA,NA
862.6408,NA,NA,NA,NA,Positive,21.47894313,25.98975825,NA,NA,NA,NA
862.6532,NA,NA,NA,NA,Positive,24.04105919,28.51627267,NA,NA,NA,NA
862.6925,NA,NA,NA,NA,Positive,25.55662482,30.70907651,NA,NA,NA,NA
862.7864,NA,NA,NA,NA,Positive,30.1504253,34.34250059,NA,NA,NA,NA
862.8228,NA,NA,NA,NA,Positive,38.64292821,43.04719097,NA,NA,NA,NA
863.6166,NA,NA,NA,NA,Positive,24.13206648,29.33253699,NA,NA,NA,NA
863.7105,NA,NA,NA,NA,Positive,28.6458356,33.17404262,NA,NA,NA,NA
864.5684,NA,NA,NA,NA,Positive,10.99891302,15.50445356,NA,NA,NA,NA
864.5749,NA,NA,NA,NA,Positive,16.59604796,20.59604796,NA,NA,NA,NA
864.6142,NA,NA,NA,NA,Positive,21.76313801,26.72351442,NA,NA,NA,NA
864.6565,NA,NA,NA,NA,Positive,22.8935081,27.91513836,NA,NA,NA,NA
864.6688,NA,NA,NA,NA,Positive,25.98151424,29.98151424,NA,NA,NA,NA
864.7081,NA,NA,NA,NA,Positive,26.26090085,31.30130863,NA,NA,NA,NA
864.802,NA,NA,NA,NA,Positive,30.9347327,34.9347327,NA,NA,NA,NA
864.8384,NA,NA,NA,NA,Positive,40.29366779,44.29366779,NA,NA,NA,NA
865.6322,NA,NA,NA,NA,Positive,24.83634252,29.92476911,NA,NA,NA,NA
865.7261,NA,NA,NA,NA,Positive,29.35011163,33.95835002,NA,NA,NA,NA
866.5782,NA,NA,NA,NA,Positive,15.50633546,19.50633546,NA,NA,NA,NA
866.5841,NA,NA,NA,NA,Positive,13.02107516,17.02107516,NA,NA,NA,NA
866.5906,NA,NA,NA,NA,Positive,18.02168841,22.53650301,NA,NA,NA,NA
866.6299,NA,NA,NA,NA,Positive,22.46741404,28.05203512,NA,NA,NA,NA
866.6721,NA,NA,NA,NA,Positive,24.34736655,28.8188882,NA,NA,NA,NA
