Mass [m/z],Formula [M],Formula type,Species,CS [z],Polarity,Start [min],End [min],(N)CE,(N)CE type,MSX ID,Comment
956.7191,NA,NA,NA,NA,Positive,26.98002914,30.98002914,NA,NA,NA,NA
956.7314,NA,NA,NA,NA,Positive,29.50601424,34.02082884,NA,NA,NA,NA
956.7707,NA,NA,NA,NA,Positive,27.50939018,32.70986069,NA,NA,NA,NA
956.813,NA,NA,NA,NA,Positive,36.4104623,40.4104623,NA,NA,NA,NA
956.8646,NA,NA,NA,NA,Positive,32.05517185,36.47133496,NA,NA,NA,NA
957.6948,NA,NA,NA,NA,Positive,26.06882557,31.33332118,NA,NA,NA,NA
957.7887,NA,NA,NA,NA,Positive,30.61460723,35.39891463,NA,NA,NA,NA
958.6467,NA,NA,NA,NA,Positive,17.06539943,21.61306834,NA,NA,NA,NA
958.6925,NA,NA,NA,NA,Positive,23.68389083,28.93238016,NA,NA,NA,NA
958.7347,NA,NA,NA,NA,Positive,28.43388758,32.43388758,NA,NA,NA,NA
958.7471,NA,NA,NA,NA,Positive,30.97125581,35.44646929,NA,NA,NA,NA
958.7864,NA,NA,NA,NA,Positive,28.22967249,33.30209281,NA,NA,NA,NA
958.8286,NA,NA,NA,NA,Positive,38.37513587,42.37513587,NA,NA,NA,NA
958.8803,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
959.6166,NA,NA,NA,NA,Positive,22.24332622,26.24332622,NA,NA,NA,NA
959.7105,NA,NA,NA,NA,Positive,26.78910788,32.11762857,NA,NA,NA,NA
959.8044,NA,NA,NA,NA,Positive,31.33488954,35.99114675,NA,NA,NA,NA
960.6623,NA,NA,NA,NA,Positive,18.62414941,23.12968994,NA,NA,NA,NA
960.7081,NA,NA,NA,NA,Positive,24.40417313,30.03681303,NA,NA,NA,NA
960.7504,NA,NA,NA,NA,Positive,29.88774603,34.35926769,NA,NA,NA,NA
960.7627,NA,NA,NA,NA,Positive,32.43649738,36.91171086,NA,NA,NA,NA
960.802,NA,NA,NA,NA,Positive,28.94995479,33.9103312,NA,NA,NA,NA
960.8959,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
961.6322,NA,NA,NA,NA,Positive,22.96360852,27.58785319,NA,NA,NA,NA
961.7261,NA,NA,NA,NA,Positive,27.50939018,32.70986069,NA,NA,NA,NA
961.82,NA,NA,NA,NA,Positive,32.05517185,36.47133496,NA,NA,NA,NA
962.678,NA,NA,NA,NA,Positive,20.14077101,24.68843992,NA,NA,NA,NA
962.7238,NA,NA,NA,NA,Positive,25.10844916,30.62904514,NA,NA,NA,NA
962.766,NA,NA,NA,NA,Positive,31.302311,35.81312613,NA,NA,NA,NA
962.7784,NA,NA,NA,NA,Positive,34.37695243,38.37695243,NA,NA,NA,NA
962.8177,NA,NA,NA,NA,Positive,29.6702371,34.50256332,NA,NA,NA,NA
962.9116,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
963.6479,NA,NA,NA,NA,Positive,23.68389083,28.93238016,NA,NA,NA,NA
963.7418,NA,NA,NA,NA,Positive,28.22967249,33.30209281,NA,NA,NA,NA
963.8357,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
964.6936,NA,NA,NA,NA,Positive,22.2471899,26.2471899,NA,NA,NA,NA
964.7394,NA,NA,NA,NA,Positive,25.82873147,31.22127726,NA,NA,NA,NA
964.7817,NA,NA,NA,NA,Positive,32.75616945,37.26698458,NA,NA,NA,NA
964.794,NA,NA,NA,NA,Positive,36.35700861,40.35700861,NA,NA,NA,NA
964.8333,NA,NA,NA,NA,Positive,30.39051941,35.09479544,NA,NA,NA,NA
964.9272,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
965.6635,NA,NA,NA,NA,Positive,24.40417313,30.03681303,NA,NA,NA,NA
965.7574,NA,NA,NA,NA,Positive,28.94995479,33.9103312,NA,NA,NA,NA
965.8513,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
966.6154,NA,NA,NA,NA,Positive,13.73725758,18.28492649,NA,NA,NA,NA
966.7093,NA,NA,NA,NA,Positive,24.31148041,28.31148041,NA,NA,NA,NA
966.7158,NA,NA,NA,NA,Positive,28.31798053,32.31798053,NA,NA,NA,NA
966.7551,NA,NA,NA,NA,Positive,26.54901378,31.81350938,NA,NA,NA,NA
966.7973,NA,NA,NA,NA,Positive,34.21002789,38.72084302,NA,NA,NA,NA
966.849,NA,NA,NA,NA,Positive,31.11080171,35.89510911,NA,NA,NA,NA
967.6792,NA,NA,NA,NA,Positive,25.10844916,30.62904514,NA,NA,NA,NA
967.7731,NA,NA,NA,NA,Positive,29.6702371,34.50256332,NA,NA,NA,NA
967.867,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
968.631,NA,NA,NA,NA,Positive,15.29600756,19.84367647,NA,NA,NA,NA
968.7314,NA,NA,NA,NA,Positive,29.74362098,33.74362098,NA,NA,NA,NA
968.7707,NA,NA,NA,NA,Positive,27.26929608,32.61382305,NA,NA,NA,NA
968.813,NA,NA,NA,NA,Positive,35.66388634,40.17470147,NA,NA,NA,NA
968.8646,NA,NA,NA,NA,Positive,31.83108402,36.47133496,NA,NA,NA,NA
969.6948,NA,NA,NA,NA,Positive,25.82873147,31.22127726,NA,NA,NA,NA
969.7887,NA,NA,NA,NA,Positive,30.39051941,35.09479544,NA,NA,NA,NA
969.8826,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
970.6467,NA,NA,NA,NA,Positive,16.85475754,21.90796698,NA,NA,NA,NA
970.6925,NA,NA,NA,NA,Positive,23.95599748,27.95599748,NA,NA,NA,NA
970.7471,NA,NA,NA,NA,Positive,31.20886255,35.20886255,NA,NA,NA,NA
970.7864,NA,NA,NA,NA,Positive,27.98957839,33.20605517,NA,NA,NA,NA
970.8286,NA,NA,NA,NA,Positive,37.62855991,41.62855991,NA,NA,NA,NA
970.8803,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
971.7105,NA,NA,NA,NA,Positive,26.54901378,31.81350938,NA,NA,NA,NA
971.8044,NA,NA,NA,NA,Positive,31.11080171,35.89510911,NA,NA,NA,NA
972.6623,NA,NA,NA,NA,Positive,18.37137914,22.91904805,NA,NA,NA,NA
972.7081,NA,NA,NA,NA,Positive,24.16407903,29.30052445,NA,NA,NA,NA
972.7627,NA,NA,NA,NA,Positive,32.67410412,36.67410412,NA,NA,NA,NA
972.802,NA,NA,NA,NA,Positive,28.70986069,33.79828729,NA,NA,NA,NA
972.8443,NA,NA,NA,NA,Positive,39.59323349,43.59323349,NA,NA,NA,NA
972.8959,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
973.7261,NA,NA,NA,NA,Positive,27.26929608,32.61382305,NA,NA,NA,NA
973.82,NA,NA,NA,NA,Positive,31.83108402,36.47133496,NA,NA,NA,NA
974.5841,NA,NA,NA,NA,Positive,10.45124411,14.95678464,NA,NA,NA,NA
974.678,NA,NA,NA,NA,Positive,19.93012912,24.47779803,NA,NA,NA,NA
974.7238,NA,NA,NA,NA,Positive,24.88436134,30.51700123,NA,NA,NA,NA
974.766,NA,NA,NA,NA,Positive,31.5773653,35.5773653,NA,NA,NA,NA
974.7784,NA,NA,NA,NA,Positive,34.13934569,38.13934569,NA,NA,NA,NA
974.8177,NA,NA,NA,NA,Positive,29.430143,34.39051941,NA,NA,NA,NA
974.9116,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
975.6479,NA,NA,NA,NA,Positive,23.95599748,27.95599748,NA,NA,NA,NA
975.7418,NA,NA,NA,NA,Positive,27.98957839,33.20605517,NA,NA,NA,NA
975.8357,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
976.5997,NA,NA,NA,NA,Positive,11.96786571,16.51553462,NA,NA,NA,NA
976.6936,NA,NA,NA,NA,Positive,21.4888791,25.99441963,NA,NA,NA,NA
976.7001,NA,NA,NA,NA,Positive,26.10031761,30.10031761,NA,NA,NA,NA
976.7394,NA,NA,NA,NA,Positive,25.60464364,31.10923335,NA,NA,NA,NA
976.7817,NA,NA,NA,NA,Positive,33.03122375,37.03122375,NA,NA,NA,NA
976.794,NA,NA,NA,NA,Positive,35.60458726,39.60458726,NA,NA,NA,NA
976.8333,NA,NA,NA,NA,Positive,30.1504253,34.98275152,NA,NA,NA,NA
976.9272,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
977.6635,NA,NA,NA,NA,Positive,24.16407903,29.30052445,NA,NA,NA,NA
977.7574,NA,NA,NA,NA,Positive,28.70986069,33.79828729,NA,NA,NA,NA
977.8513,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
978.6154,NA,NA,NA,NA,Positive,13.52661569,18.0742846,NA,NA,NA,NA
978.7093,NA,NA,NA,NA,Positive,23.55316961,27.55316961,NA,NA,NA,NA
978.7551,NA,NA,NA,NA,Positive,26.32492595,31.70146546,NA,NA,NA,NA
978.7973,NA,NA,NA,NA,Positive,34.48508219,38.48508219,NA,NA,NA,NA
978.8097,NA,NA,NA,NA,Positive,37.54504232,41.54504232,NA,NA,NA,NA
978.849,NA,NA,NA,NA,Positive,30.87070761,35.59098991,NA,NA,NA,NA
978.9429,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
979.6792,NA,NA,NA,NA,Positive,24.88436134,30.51700123,NA,NA,NA,NA
979.7731,NA,NA,NA,NA,Positive,29.430143,34.39051941,NA,NA,NA,NA
979.867,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
980.631,NA,NA,NA,NA,Positive,15.04323729,19.5909062,NA,NA,NA,NA
980.7249,NA,NA,NA,NA,Positive,25.61746012,29.61746012,NA,NA,NA,NA
980.7314,NA,NA,NA,NA,Positive,28.99119963,32.99119963,NA,NA,NA,NA
980.7707,NA,NA,NA,NA,Positive,27.04520825,32.29369758,NA,NA,NA,NA
980.813,NA,NA,NA,NA,Positive,35.93894064,39.93894064,NA,NA,NA,NA
980.8646,NA,NA,NA,NA,Positive,31.60699619,36.39130359,NA,NA,NA,NA
981.6948,NA,NA,NA,NA,Positive,25.60464364,31.10923335,NA,NA,NA,NA
981.7887,NA,NA,NA,NA,Positive,30.1504253,34.98275152,NA,NA,NA,NA
981.8826,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
982.6467,NA,NA,NA,NA,Positive,16.60198727,21.14965618,NA,NA,NA,NA
982.6925,NA,NA,NA,NA,Positive,23.20370262,27.20370262,NA,NA,NA,NA
982.7471,NA,NA,NA,NA,Positive,30.4564412,34.4564412,NA,NA,NA,NA
982.7864,NA,NA,NA,NA,Positive,27.76549056,33.09401126,NA,NA,NA,NA
982.8286,NA,NA,NA,NA,Positive,37.39279909,41.39279909,NA,NA,NA,NA
982.8803,NA,NA,NA,NA,Positive,32.32727849,36.47133496,NA,NA,NA,NA
983.7105,NA,NA,NA,NA,Positive,26.32492595,31.70146546,NA,NA,NA,NA
983.8044,NA,NA,NA,NA,Positive,30.87070761,35.59098991,NA,NA,NA,NA
983.8983,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
984.6623,NA,NA,NA,NA,Positive,18.16073725,23.2139467,NA,NA,NA,NA
984.7081,NA,NA,NA,NA,Positive,23.92398493,28.56423587,NA,NA,NA,NA
984.7504,NA,NA,NA,NA,Positive,29.3769309,33.3769309,NA,NA,NA,NA
984.7627,NA,NA,NA,NA,Positive,31.92168277,36.43649738,NA,NA,NA,NA
984.802,NA,NA,NA,NA,Positive,28.48577286,33.68624337,NA,NA,NA,NA
984.8443,NA,NA,NA,NA,Positive,38.84665753,42.84665753,NA,NA,NA,NA
984.8959,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
985.7261,NA,NA,NA,NA,Positive,27.04520825,32.29369758,NA,NA,NA,NA
985.82,NA,NA,NA,NA,Positive,31.60699619,36.39130359,NA,NA,NA,NA
986.678,NA,NA,NA,NA,Positive,19.67735885,24.22502776,NA,NA,NA,NA
986.7238,NA,NA,NA,NA,Positive,24.64426723,29.90876284,NA,NA,NA,NA
986.7784,NA,NA,NA,NA,Positive,33.38692435,37.38692435,NA,NA,NA,NA
986.8177,NA,NA,NA,NA,Positive,29.20605517,34.29448176,NA,NA,NA,NA
986.8599,NA,NA,NA,NA,Positive,40.81133111,44.81133111,NA,NA,NA,NA
986.9116,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
987.6479,NA,NA,NA,NA,Positive,23.20370262,27.20370262,NA,NA,NA,NA
987.7418,NA,NA,NA,NA,Positive,27.76549056,33.09401126,NA,NA,NA,NA
987.8357,NA,NA,NA,NA,Positive,32.32727849,36.47133496,NA,NA,NA,NA
988.6936,NA,NA,NA,NA,Positive,21.23610883,25.78377774,NA,NA,NA,NA
988.7394,NA,NA,NA,NA,Positive,25.36454954,30.99718943,NA,NA,NA,NA
988.7817,NA,NA,NA,NA,Positive,32.28464779,36.28464779,NA,NA,NA,NA
988.794,NA,NA,NA,NA,Positive,34.85216592,39.36698052,NA,NA,NA,NA
988.8333,NA,NA,NA,NA,Positive,29.92633748,34.88671388,NA,NA,NA,NA
988.9272,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
989.6635,NA,NA,NA,NA,Positive,23.92398493,28.56423587,NA,NA,NA,NA
989.7574,NA,NA,NA,NA,Positive,28.48577286,33.68624337,NA,NA,NA,NA
989.8513,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
990.7093,NA,NA,NA,NA,Positive,22.79485881,27.34252772,NA,NA,NA,NA
990.7551,NA,NA,NA,NA,Positive,26.08483185,31.60542782,NA,NA,NA,NA
990.7973,NA,NA,NA,NA,Positive,33.73850624,37.73850624,NA,NA,NA,NA
990.8097,NA,NA,NA,NA,Positive,36.83222209,40.83222209,NA,NA,NA,NA
990.849,NA,NA,NA,NA,Positive,30.64661978,35.478946,NA,NA,NA,NA
990.9429,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
991.6792,NA,NA,NA,NA,Positive,24.64426723,29.90876284,NA,NA,NA,NA
991.7731,NA,NA,NA,NA,Positive,29.20605517,34.29448176,NA,NA,NA,NA
991.867,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
992.631,NA,NA,NA,NA,Positive,14.8325954,18.8325954,NA,NA,NA,NA
992.7249,NA,NA,NA,NA,Positive,24.85914932,28.85914932,NA,NA,NA,NA
992.7707,NA,NA,NA,NA,Positive,26.80511415,32.19765994,NA,NA,NA,NA
992.813,NA,NA,NA,NA,Positive,35.19236468,39.70317981,NA,NA,NA,NA
992.8253,NA,NA,NA,NA,Positive,38.77267715,42.77267715,NA,NA,NA,NA
992.8646,NA,NA,NA,NA,Positive,31.36690209,36.07117812,NA,NA,NA,NA
992.9585,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
993.6948,NA,NA,NA,NA,Positive,25.36454954,30.99718943,NA,NA,NA,NA
993.7887,NA,NA,NA,NA,Positive,29.92633748,34.88671388,NA,NA,NA,NA
993.8826,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
994.6467,NA,NA,NA,NA,Positive,16.39134538,20.89688592,NA,NA,NA,NA
994.7406,NA,NA,NA,NA,Positive,26.96556821,30.96556821,NA,NA,NA,NA
994.7864,NA,NA,NA,NA,Positive,27.52539646,32.78989206,NA,NA,NA,NA
994.8286,NA,NA,NA,NA,Positive,36.6855166,40.6855166,NA,NA,NA,NA
994.8803,NA,NA,NA,NA,Positive,32.08718439,36.47133496,NA,NA,NA,NA
995.7105,NA,NA,NA,NA,Positive,26.08483185,31.60542782,NA,NA,NA,NA
995.8044,NA,NA,NA,NA,Positive,30.64661978,35.478946,NA,NA,NA,NA
995.8983,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
996.6623,NA,NA,NA,NA,Positive,17.90796698,22.45563589,NA,NA,NA,NA
996.7081,NA,NA,NA,NA,Positive,24.19609158,28.19609158,NA,NA,NA,NA
996.802,NA,NA,NA,NA,Positive,28.24567876,33.59020573,NA,NA,NA,NA
996.8443,NA,NA,NA,NA,Positive,38.13937504,42.6108967,NA,NA,NA,NA
996.8959,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
997.7261,NA,NA,NA,NA,Positive,26.80511415,32.19765994,NA,NA,NA,NA
997.82,NA,NA,NA,NA,Positive,31.36690209,36.07117812,NA,NA,NA,NA
997.9139,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
998.678,NA,NA,NA,NA,Positive,19.46671696,24.51992641,NA,NA,NA,NA
998.7238,NA,NA,NA,NA,Positive,24.42017941,29.54061855,NA,NA,NA,NA
998.7784,NA,NA,NA,NA,Positive,33.62453109,37.62453109,NA,NA,NA,NA
998.8177,NA,NA,NA,NA,Positive,28.96596107,34.18243785,NA,NA,NA,NA
998.8599,NA,NA,NA,NA,Positive,40.10404862,44.10404862,NA,NA,NA,NA
998.9116,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
999.7418,NA,NA,NA,NA,Positive,27.52539646,32.78989206,NA,NA,NA,NA
999.8357,NA,NA,NA,NA,Positive,32.08718439,36.47133496,NA,NA,NA,NA
1000.5997,NA,NA,NA,NA,Positive,12.05212247,16.05212247,NA,NA,NA,NA
1000.6936,NA,NA,NA,NA,Positive,21.02546694,25.53100748,NA,NA,NA,NA
1000.7394,NA,NA,NA,NA,Positive,25.14046171,30.90115179,NA,NA,NA,NA
1000.8333,NA,NA,NA,NA,Positive,29.70224965,34.77466997,NA,NA,NA,NA
1000.8756,NA,NA,NA,NA,Positive,42.02942872,46.02942872,NA,NA,NA,NA
1000.9272,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1001.6635,NA,NA,NA,NA,Positive,24.19609158,28.19609158,NA,NA,NA,NA
1001.7574,NA,NA,NA,NA,Positive,28.24567876,33.59020573,NA,NA,NA,NA
1001.8513,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1002.6154,NA,NA,NA,NA,Positive,13.06320353,17.56874407,NA,NA,NA,NA
1002.7093,NA,NA,NA,NA,Positive,22.58421692,27.08975745,NA,NA,NA,NA
1002.7551,NA,NA,NA,NA,Positive,25.86074402,31.49338391,NA,NA,NA,NA
1002.8097,NA,NA,NA,NA,Positive,36.55501423,40.55501423,NA,NA,NA,NA
1002.849,NA,NA,NA,NA,Positive,30.42253195,35.38290836,NA,NA,NA,NA
1002.9429,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1003.6792,NA,NA,NA,NA,Positive,24.42017941,29.54061855,NA,NA,NA,NA
1003.7731,NA,NA,NA,NA,Positive,28.96596107,34.18243785,NA,NA,NA,NA
1003.867,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1004.631,NA,NA,NA,NA,Positive,14.57982514,19.12749405,NA,NA,NA,NA
1004.7249,NA,NA,NA,NA,Positive,24.10083852,28.64850743,NA,NA,NA,NA
1004.7314,NA,NA,NA,NA,Positive,28.47638503,32.47638503,NA,NA,NA,NA
1004.7707,NA,NA,NA,NA,Positive,26.58102632,32.08561603,NA,NA,NA,NA
1004.8253,NA,NA,NA,NA,Positive,38.0202558,42.0202558,NA,NA,NA,NA
1004.8646,NA,NA,NA,NA,Positive,31.14281426,35.97514048,NA,NA,NA,NA
1004.9585,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1005.6948,NA,NA,NA,NA,Positive,25.14046171,30.90115179,NA,NA,NA,NA
1005.7887,NA,NA,NA,NA,Positive,29.70224965,34.77466997,NA,NA,NA,NA
1005.8826,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1006.6467,NA,NA,NA,NA,Positive,16.13857511,20.68624403,NA,NA,NA,NA
1006.7406,NA,NA,NA,NA,Positive,26.20725741,30.20725741,NA,NA,NA,NA
1006.7864,NA,NA,NA,NA,Positive,27.30130863,32.67784815,NA,NA,NA,NA
1006.8286,NA,NA,NA,NA,Positive,36.92127743,40.92127743,NA,NA,NA,NA
1006.841,NA,NA,NA,NA,Positive,40.00031198,44.00031198,NA,NA,NA,NA
1006.8803,NA,NA,NA,NA,Positive,31.86309656,36.47133496,NA,NA,NA,NA
1006.9742,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1007.7105,NA,NA,NA,NA,Positive,25.86074402,31.49338391,NA,NA,NA,NA
1007.8044,NA,NA,NA,NA,Positive,30.42253195,35.38290836,NA,NA,NA,NA
1007.8983,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1008.6623,NA,NA,NA,NA,Positive,17.69732509,22.20286563,NA,NA,NA,NA
1008.7081,NA,NA,NA,NA,Positive,23.459803,27.459803,NA,NA,NA,NA
1008.7562,NA,NA,NA,NA,Positive,28.3136763,32.3136763,NA,NA,NA,NA
1008.7627,NA,NA,NA,NA,Positive,31.40686817,35.40686817,NA,NA,NA,NA
1008.802,NA,NA,NA,NA,Positive,28.02159093,33.28608654,NA,NA,NA,NA
1008.8959,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1009.7261,NA,NA,NA,NA,Positive,26.58102632,32.08561603,NA,NA,NA,NA
1009.82,NA,NA,NA,NA,Positive,31.14281426,35.97514048,NA,NA,NA,NA
1009.9139,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1010.678,NA,NA,NA,NA,Positive,19.25607507,23.76161561,NA,NA,NA,NA
1010.7238,NA,NA,NA,NA,Positive,24.67627978,28.80432997,NA,NA,NA,NA
1010.7784,NA,NA,NA,NA,Positive,32.87210974,36.87210974,NA,NA,NA,NA
1010.8177,NA,NA,NA,NA,Positive,28.74187324,34.08640021,NA,NA,NA,NA
1010.8599,NA,NA,NA,NA,Positive,39.86828779,43.86828779,NA,NA,NA,NA
1010.9116,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1011.7418,NA,NA,NA,NA,Positive,27.30130863,32.67784815,NA,NA,NA,NA
1011.8357,NA,NA,NA,NA,Positive,31.86309656,36.47133496,NA,NA,NA,NA
1011.9296,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1012.6936,NA,NA,NA,NA,Positive,20.77269667,25.8680345,NA,NA,NA,NA
1012.7394,NA,NA,NA,NA,Positive,25.28451817,30.16486321,NA,NA,NA,NA
1012.7817,NA,NA,NA,NA,Positive,31.81312613,35.81312613,NA,NA,NA,NA
1012.794,NA,NA,NA,NA,Positive,34.33735131,38.85216592,NA,NA,NA,NA
1012.8333,NA,NA,NA,NA,Positive,29.46215555,34.67863233,NA,NA,NA,NA
1012.8756,NA,NA,NA,NA,Positive,41.32214624,45.32214624,NA,NA,NA,NA
1012.9272,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1013.6635,NA,NA,NA,NA,Positive,23.459803,27.459803,NA,NA,NA,NA
1013.7574,NA,NA,NA,NA,Positive,28.02159093,33.28608654,NA,NA,NA,NA
1013.8513,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1014.7093,NA,NA,NA,NA,Positive,22.33144665,26.87911557,NA,NA,NA,NA
1014.7551,NA,NA,NA,NA,Positive,25.62064992,31.38134,NA,NA,NA,NA
1014.8097,NA,NA,NA,NA,Positive,35.80259288,39.80259288,NA,NA,NA,NA
1014.849,NA,NA,NA,NA,Positive,30.18243785,35.27086445,NA,NA,NA,NA
1014.8912,NA,NA,NA,NA,Positive,43.28681981,47.28681981,NA,NA,NA,NA
1014.9429,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1015.6792,NA,NA,NA,NA,Positive,24.67627978,28.80432997,NA,NA,NA,NA
1015.7731,NA,NA,NA,NA,Positive,28.74187324,34.08640021,NA,NA,NA,NA
1015.867,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1016.7249,NA,NA,NA,NA,Positive,23.89019663,28.43786554,NA,NA,NA,NA
1016.7707,NA,NA,NA,NA,Positive,26.34093222,31.97357211,NA,NA,NA,NA
1016.813,NA,NA,NA,NA,Positive,34.72084302,38.72084302,NA,NA,NA,NA
1016.8253,NA,NA,NA,NA,Positive,37.26783445,41.78264906,NA,NA,NA,NA
1016.8646,NA,NA,NA,NA,Positive,30.91872643,35.86309656,NA,NA,NA,NA
1016.9585,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1017.6948,NA,NA,NA,NA,Positive,25.28451817,30.16486321,NA,NA,NA,NA
1017.7887,NA,NA,NA,NA,Positive,29.46215555,34.67863233,NA,NA,NA,NA
1017.8826,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1018.7406,NA,NA,NA,NA,Positive,25.44894661,29.99661552,NA,NA,NA,NA
1018.7864,NA,NA,NA,NA,Positive,27.06121453,32.5818105,NA,NA,NA,NA
1018.8286,NA,NA,NA,NA,Positive,36.17470147,40.17470147,NA,NA,NA,NA
1018.841,NA,NA,NA,NA,Positive,39.24789063,43.24789063,NA,NA,NA,NA
1018.8803,NA,NA,NA,NA,Positive,31.63900874,36.47133496,NA,NA,NA,NA
1018.9742,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1019.7105,NA,NA,NA,NA,Positive,25.62064992,31.38134,NA,NA,NA,NA
1019.8044,NA,NA,NA,NA,Positive,30.18243785,35.27086445,NA,NA,NA,NA
1019.8983,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1020.6623,NA,NA,NA,NA,Positive,17.44455483,21.44455483,NA,NA,NA,NA
1020.7562,NA,NA,NA,NA,Positive,27.5553655,31.5553655,NA,NA,NA,NA
1020.802,NA,NA,NA,NA,Positive,27.78149683,33.17404262,NA,NA,NA,NA
1020.8443,NA,NA,NA,NA,Positive,37.66785339,42.13937504,NA,NA,NA,NA
1020.8566,NA,NA,NA,NA,Positive,41.22794681,45.22794681,NA,NA,NA,NA
1020.8959,NA,NA,NA,NA,Positive,32.35929104,36.47133496,NA,NA,NA,NA
1020.9898,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1021.7261,NA,NA,NA,NA,Positive,26.34093222,31.97357211,NA,NA,NA,NA
1021.82,NA,NA,NA,NA,Positive,30.91872643,35.86309656,NA,NA,NA,NA
1021.9139,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1022.678,NA,NA,NA,NA,Positive,19.00330481,23.00330481,NA,NA,NA,NA
1022.7719,NA,NA,NA,NA,Positive,29.61965602,33.61965602,NA,NA,NA,NA
1022.8177,NA,NA,NA,NA,Positive,28.51778541,33.76627474,NA,NA,NA,NA
1022.8599,NA,NA,NA,NA,Positive,39.12171183,43.12171183,NA,NA,NA,NA
1022.9116,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1023.7418,NA,NA,NA,NA,Positive,27.06121453,32.5818105,NA,NA,NA,NA
1023.8357,NA,NA,NA,NA,Positive,31.63900874,36.47133496,NA,NA,NA,NA
1023.9296,NA,NA,NA,NA,Positive,32.47133496,36.47133496,NA,NA,NA,NA
1024.6936,NA,NA,NA,NA,Positive,20.56205479,25.1097237,NA,NA,NA,NA
