"","Set","Compound.Name","Retention.Time","MYCOLUMN","mz","MS2"
"81","81","Ingalls_Imidazoleacrylic Acid",489.6,"139.0501 ","139.0501 ","51.1549, 42786; 52.3034, 51365; 52.5481, 34263; 53.7716, 45669; 58.8708, 42601; 59.003, 48006; 60.1949, 29410; 61.939, 34614; 64.6038, 31862; 68.0494, 100651; 68.0508, 213843; 68.093, 69379; 69.5025, 44679; 73.1637, 34121; 74.5536, 35380; 76.7291, 25089; 76.7302, 10754; 80.9758, 52606; 82.4187, 42689; 83.1953, 52024; 83.2137, 32495; 85.9172, 38059; 92.7277, 59841; 93.0452, 3157885; 94.0486, 45295; 94.0501, 1258; 94.3423, 40846; 95.0607, 11790829; 95.2465, 32335; 96.0644, 344147; 96.3412, 35394; 97.0212, 41266; 97.0405, 1096615; 99.088, 53251; 104.1146, 44355; 104.7016, 51659; 108.5097, 6613; 108.5112, 44128; 120.9691, 30195; 120.9713, 25100; 121.0402, 55996992; 122.0408, 2546853; 124.3652, 38872; 133.5536, 33258; 135.5375, 48196; 138.1027, 79144; 138.9644, 160091; 139.0448, 49335041; 139.0542, 94442306; 139.1233, 223430; 139.1361, 152759; 140.0466, 524446; 140.0547, 6458850; 141.421, 45144; 141.6271, 52284; 141.7176, 46379; 157.8408, 32032; "
"82","82","Ingalls_Isoleucine ",490.2,"132.10191 ","132.10191 ","53.0394, 11293; 55.6024, 3400; 56.0885, 3745; 56.1922, 3810; 57.0342, 23598; 58.066, 4529; 58.9958, 31472; 61.0118, 477007; 69.0698, 15597; 69.0708, 81601; 70.0657, 18934; 73.7725, 3617; 74.9896, 4732; 74.9909, 28458; 75.0269, 38792; 77.006, 26480; 83.7134, 3492; 84.0814, 8708; 84.7844, 3382; 85.0193, 170039; 85.0303, 9778; 85.1464, 3713; 86.0972, 2056042; 87.0269, 974895; 87.1004, 124023; 88.0762, 17071; 89.0425, 9614; 90.2697, 1099; 90.2704, 2394; 91.0216, 24017; 105.0009, 52762; 105.0372, 77087; 114.0895, 2329; 114.0921, 86130; 115.0214, 11979; 131.118, 51764; 131.1622, 9136; 132.1023, 730578; 132.1381, 7969; 133.0282, 53280; 133.0335, 789094; 133.0759, 22193; 133.1052, 34374; 136.465, 4368; "
"83","83","Ingalls_Leucine ",457.8,"132.10191 ","132.10191 ","50.3236, 2248; 54.6957, 3413; 59.6805, 2263; 61.0673, 1100; 65.9359, 3303; 67.2155, 3407; 70.0657, 4892; 74.5055, 4006; 86.0972, 2456448; 86.8443, 2550; 87.0998, 159087; 88.0764, 18543; 89.5637, 2202; 94.7455, 3725; 95.5175, 3368; 96.5593, 1144; 103.1841, 4125; 114.0895, 2875; 114.0921, 104545; 118.5448, 2362; 131.1177, 67144; 132.1019, 895630; 132.1381, 6444; 133.0764, 14207; 133.1051, 40761; "
"84","84","Ingalls_Methionine ",497.4,"150.05833 ","150.05833 ","50.3274, 6607; 54.5409, 7499; 55.8678, 7125; 56.0492, 543059; 56.0508, 2420430; 57.0534, 90521; 58.2996, 6612; 58.3768, 7359; 60.5753, 7406; 61.0097, 9647; 61.0116, 738765; 69.0453, 9400; 73.8021, 7753; 74.024, 154016; 74.0603, 259250; 74.4332, 6931; 75.0269, 8873; 75.6748, 6825; 84.0456, 84310; 85.0285, 76522; 85.0302, 3372; 87.026, 305999; 89.0603, 16034; 93.0914, 7079; 101.527, 8679; 102.0555, 1509120; 103.0587, 50307; 104.0493, 54467; 104.0541, 6575304; 105.0009, 14329; 105.0372, 54726; 105.0549, 242505; 109.0764, 30533; 110.0711, 7191; 113.4587, 8774; 122.007, 7875; 132.1019, 11426; 133.0274, 324708; 133.034, 3845655; 133.0763, 10452; 133.1695, 1702; 133.1712, 4827; 134.0341, 170867; 134.0696, 3862; 134.0716, 9801; 143.5095, 1128; 143.5113, 5536; 143.8493, 3117; 143.8516, 5218; 149.0228, 41565; 149.0697, 1780; 149.0812, 95464; 149.1073, 16826; 150.0269, 11696; 150.06, 1326616; 150.081, 68363; 150.0991, 160204; 150.1131, 76886; 151.0615, 71324; 151.0861, 81867; 151.0991, 68594; 155.0095, 2988; 155.0115, 3784; "
"85","85","Ingalls_Methionine Sulfoxide",583.8,"166.0644 ","166.0644 ","54.2241, 11782; 56.0493, 773662; 56.0512, 1563974; 57.0535, 33291; 58.0659, 20560; 60.6602, 13089; 61.0112, 35759; 63.3208, 17254; 65.0062, 20708; 74.0244, 12651665; 74.0605, 251728; 75.0269, 3113833; 75.032, 19934; 76.0296, 26316; 76.0308, 35492; 83.0608, 21686; 84.0448, 79175; 84.8037, 12244; 85.0288, 13022; 99.8849, 12799; 102.0222, 32716; 102.0375, 33109; 102.0558, 2503571; 103.0396, 15473; 103.0584, 59847; 107.0488, 20977; 107.0576, 26186; 120.0476, 58686; 121.0315, 16384; 124.0872, 135744; 125.0822, 27985; 131.0168, 105454; 133.0384, 13397; 148.0427, 65431; 148.0867, 65269; 148.0905, 1568; 149.0253, 2205318; 149.0316, 32939; 149.0692, 8034; 149.0721, 17905; 150.0283, 36847; 150.0323, 32088; 165.1092, 1719; 165.1138, 75587; 166.0471, 113809; 166.0569, 2261261; 166.0972, 154553; 166.1338, 20455; 167.0572, 104956; 167.0892, 1023; 167.0932, 26677; "
"86","86","Ingalls_Methylmalonyl carnitine",580.2,"262.1283 ","262.1283 ","51.5009, 62041; 53.8247, 106424; 54.2539, 78083; 54.8937, 78052; 57.0342, 450246; 58.0661, 3705759; 58.8039, 83146; 59.0738, 10530427; 60.0807, 33877467; 61.0849, 557146; 73.029, 193102; 73.0302, 2097; 74.3812, 75562; 74.5482, 49442; 74.8928, 58828; 79.3387, 52624; 80.6573, 74990; 83.0133, 274538; 85.0276, 116412573; 85.0314, 13338650; 86.0329, 3115771; 92.4283, 86984; 99.9851, 81485; 101.0236, 1552786; 101.9943, 60268; 103.0396, 6656023; 104.0427, 85857; 104.0829, 84528; 112.8748, 50085; 114.0223, 80050; 115.5386, 57626; 119.0337, 714418; 122.9647, 84777; 123.1237, 90744; 129.7635, 61768; 140.4808, 85034; 142.8096, 6000; 142.8124, 80459; 144.1014, 19447064; 144.1102, 1825; 145.103, 751766; 159.065, 741671; 159.0704, 1151; 162.1083, 144101; 162.1144, 1766610; 170.1083, 12868; 170.1119, 42132; 185.044, 102589; 203.0463, 259763; 203.0595, 9020685; 204.0581, 455971; 217.622, 296112; 217.6357, 589198; 218.1268, 108781; 218.1398, 16074774; 218.1528, 73849; 219.1421, 885146; 220.4294, 5923; 220.4347, 80366; 220.9231, 367748; 220.9319, 6060; 236.7673, 22657; 236.7731, 68654; 262.1085, 33677; 262.1199, 38349825; 262.1393, 29554669; 263.1241, 1303803; 263.1378, 3323703; "
"87","87","Ingalls_N-methyltaurine ",363.6,"140.0376 ","140.0376 ","56.0498, 2294; 56.0504, 14393; 57.762, 4286; 58.0659, 1213253; 59.0691, 32848; 70.0091, 2455; 72.5223, 2549; 78.7833, 1048; 83.1034, 2284; 94.571, 3755; 96.9958, 199258; 98.0719, 10722; 108.9959, 3860; 115.0064, 3392; 116.9697, 1538; 116.9725, 68457; 117.9693, 2481; 117.9707, 2451; 120.5078, 2317; 121.0401, 5724; 122.0265, 243078; 122.0301, 1985; 123.0554, 4013; 127.2583, 2412; 133.467, 2359; 134.4492, 2795; 139.0488, 5362; 139.051, 10277; 139.0867, 41216; 139.0977, 14524; 139.1228, 95256; 140.0282, 4092; 140.0377, 5831228; 140.0818, 91615; 140.1071, 3404; 140.1263, 18756; 141.039, 175531; 141.066, 17167; "
"88","88","Ingalls_PQS ",129.6,"260.16451 ","260.16451 ","56.0146, 2432; 56.8973, 3575; 57.419, 3295; 69.5204, 2484; 72.4837, 2236; 130.0653, 4404; 136.9671, 3940; 143.0732, 10558; 163.0402, 3393; 171.1492, 1170; 171.151, 2437; 175.0627, 19707; 188.069, 1253; 188.0718, 5129; 197.5572, 3820; 215.3073, 3686; 219.4789, 34174; 242.0954, 4464; 242.1176, 5307; 244.0986, 23091; 245.1049, 21089; 245.1111, 7216; 257.1052, 28517; 257.1118, 8080; 258.1086, 4298; 258.1131, 3805; 259.1099, 1121; 259.12, 405559; 259.1312, 17909; 259.2555, 17641; 259.9459, 7254; 260.1238, 135066; 260.1403, 78547; 260.1609, 7484844; 260.1778, 323228; 260.3875, 3142; 260.392, 3710; 260.5669, 3344; 261.1022, 55679; 261.1179, 7475; 261.1618, 271318; 261.1743, 112050; "
"89","89","Ingalls_Sarcosine ",636,"90.0554 ","90.0554 ","53.3994, 1002; 56.0502, 1077; 64.3765, 1010; 70.0657, 4864; 72.045, 24886; 72.0815, 231950; 80.6877, 2297; 89.0353, 4097; 89.0714, 14694; 89.1159, 32138; 90.0553, 718988; 90.09, 1891; 90.0921, 178210; 91.0565, 21358; 99.2199, 1090; "
"90","90","Ingalls_trans Hydroxyl",604.2,"132.06552 ","132.06552 ","51.2973, 24693; 51.933, 19351; 52.4282, 17803; 53.3653, 27057; 56.7617, 17670; 58.7957, 27305; 59.8442, 21300; 60.5161, 17145; 60.7539, 21274; 64.9357, 36157; 66.0727, 20876; 67.2424, 24551; 67.4745, 19889; 68.0494, 796956; 68.051, 858254; 68.5399, 21746; 68.9528, 25082; 69.0533, 14061; 71.6575, 20605; 73.8372, 27947; 77.6924, 13394; 77.7196, 27409; 79.9132, 30621; 80.3074, 30161; 81.8128, 22520; 86.0609, 8754323; 86.0718, 390432; 87.0592, 1789743; 88.6675, 27137; 90.0498, 28030; 90.0553, 69972979; 91.0566, 1879796; 97.1382, 15660; 100.2856, 17259; 113.4119, 21893; 114.0618, 1929962; 115.0487, 330307; 115.052, 641799; 116.8547, 20054; 117.3676, 21392; 118.4211, 23311; 120.8169, 28700; 123.9799, 19900; 129.9259, 21611; 132.0647, 6710582; 132.077, 68615619; 132.1014, 230058; 133.0681, 198301; 133.0775, 3489389; 137.4778, 27337; 138.9969, 24107; 152.2158, 18132; 152.6209, 21220; "
"91","91","Ingalls_Valine ",545.4,"118.08626 ","118.08626 ","53.0393, 6874; 55.0549, 181911; 56.0583, 4409; 57.0581, 2032; 58.0659, 340000; 59.0737, 379363; 72.0815, 3218520; 73.0831, 151347; 74.0969, 10850; 95.0489, 42426; 95.0506, 24091; 100.1122, 93228; 105.0449, 13071; 117.1468, 25133; 118.0649, 283846; 118.0847, 7668971; 118.0911, 49697; 118.1228, 342013; 119.0684, 9320; 119.0844, 230909; 119.0918, 134111; 119.126, 13093; "
"92","92","Ingalls_Trimethylamine ",357.6,"60.0815 ","60.0815 ","58.9433, 4752; 59.0373, 18632; 59.0614, 5323980; 59.085, 21047; 60.0451, 231923; 60.061, 675718; 60.0815, 4707264; 60.106, 17287; 61.0403, 9588; 63.5423, 4646; 70.0169, 4488; 70.9678, 4420; 72.3618, 5876; 75.0916, 4357; "
"93","93","Ingalls_Trimethylamine N-oxide",395.4,"76.0763 ","76.0763 ","54.1362, 37630; 54.2733, 37142; 56.0497, 12998; 56.0505, 68297; 57.9511, 78264; 58.0426, 127064; 58.0654, 44836114; 58.0885, 103046; 58.0901, 21072; 58.1809, 49597; 59.0386, 121689; 59.0503, 44766; 59.0736, 49047537; 59.0976, 106261; 60.077, 112632; 65.4402, 63883; 75.0561, 72964; 75.1003, 157906; 75.7384, 44880; 76.0762, 35641773; 77.0797, 118466; 85.6357, 42835; 85.7933, 41540; "
