"","Set","Compound.Name","Retention.Time","MYCOLUMN","mz","MS2"
"31","31","Ingalls_Deoxyadenosine ",207.96936,"252.109 ","252.109 ","50.2458, 930; 50.31376, 1044; 56.0829, 1038; 56.0888, 1266; 56.65541, 993; 62.9824, 1704; 74.58174, 1289; 82.81398, 1205; 84.6078, 1027; 89.65781, 1262; 89.96067, 1046; 91.62827, 1043; 94.07371, 1084; 99.0442, 1962; 117.05479, 5729; 123.19286, 1198; 136.06175, 90682; 136.18329, 1189; 137.06531, 1586; 142.55392, 1203; 158.24254, 1014; 166.91956, 1489; 186.94385, 1152; 217.8018, 12754; 217.81618, 5265; 217.82579, 1410; 218.1402, 1088; 223.97614, 1563; 237.84544, 1149; 239.37703, 1315; 241.98709, 9511; 242.99034, 5033; 251.09538, 1564; 251.18402, 1250; 251.24728, 1694; 251.99078, 2361; 252.20689, 4540; "
"32","32","Ingalls_Cystathionine ",780.3354,"223.0746 ","223.0746 ","50.71501, 1038; 52.13972, 1237; 56.05023, 23325; 60.80025, 1233; 63.39975, 1072; 69.60339, 1303; 75.63762, 1139; 81.95123, 1259; 88.02208, 103574; 88.03986, 2522; 107.00164, 1063; 107.0496, 1631; 112.97147, 1322; 112.97666, 1361; 119.36369, 1030; 122.91335, 1170; 134.02707, 375921; 135.03043, 7753; 160.04282, 1485; 169.13435, 1138; 220.37325, 9132; 222.11287, 1372; 223.07446, 15234; 223.21651, 4072; "
"33","33","Ingalls_Cys-Gly oxidized",721.8492,"355.0739 ","355.0739 ","52.53827, 1297; 55.01852, 1220; 57.59597, 1244; 71.74288, 1459; 74.00638, 1395; 76.02214, 11960; 76.03992, 9683; 77.82894, 1183; 84.0447, 2388; 85.04016, 8865; 92.01691, 19081; 97.02876, 18973; 99.0558, 5794; 103.02164, 2585; 107.99388, 14512; 112.03954, 8003; 113.03482, 9753; 121.7531, 1425; 127.05027, 1910; 129.06601, 1967; 130.04991, 85885; 131.04514, 122308; 131.99379, 11453; 132.04825, 4038; 136.06174, 7971; 143.04498, 8527; 144.01141, 2408; 145.06082, 10733; 149.03777, 1833; 159.02243, 1697; 160.00603, 6450; 162.02187, 21919; 164.99179, 1210; 177.03273, 349153; 178.0369, 9353; 179.04836, 45040; 189.01489, 2629; 201.03256, 1822; 202.0403, 1422; 209.00468, 21810; 211.02045, 24572; 217.00984, 2150; 219.06784, 4933; 223.59012, 1652; 223.60461, 4063; 234.65004, 1161; 235.02031, 114987; 236.02328, 5395; 250.09311, 17355; 267.00781, 1335; 298.05222, 3031; 302.36237, 1609; 313.93451, 1336; 323.91885, 2027; 332.91821, 2573; 339.52167, 1348; 355.07361, 6061; "
"34","34","Ingalls_Citrulline ",713.217,"176.1029 ","176.1029 ","70.06578, 334801; 70.57217, 1290; 71.06902, 9155; 80.3473, 1289; 85.0401, 2445; 86.06052, 3119; 87.0922, 5038; 92.01682, 1696; 95.93949, 1408; 96.04485, 1782; 96.50527, 1338; 97.07651, 14231; 97.77792, 1182; 98.06032, 1388; 113.0712, 499967; 114.05519, 86602; 114.06789, 1594; 114.0745, 18370; 115.05859, 5320; 115.08681, 183140; 115.77268, 1257; 116.07085, 94592; 116.09011, 9293; 117.0742, 2411; 123.14727, 1465; 128.4987, 1494; 130.09755, 8172; 131.04518, 1538; 131.0815, 2364; 133.0972, 13178; 141.06583, 22697; 142.04999, 12014; 149.02332, 7977; 159.07635, 1064201; 160.07332, 5149; 160.07973, 50794; 160.14017, 1256; 175.0869, 2671; 175.09776, 2829; 176.08171, 7019; 176.0927, 7517; 176.10303, 34793; 176.11812, 7529; 176.52669, 1344; "
"35","35","Ingalls_Carnitine ",544.473,"162.1124 ","162.1124 ","55.0551, 3124; 57.0707, 5122; 60.0815, 392491; 61.08488, 5475; 63.38804, 2434; 72.04498, 2755; 76.45657, 2446; 76.57278, 2469; 82.88243, 2346; 84.04514, 4847; 85.02897, 54536; 88.19743, 2205; 89.06013, 8597; 92.43147, 2263; 101.09662, 2663; 102.05521, 3691; 102.08791, 4062; 102.09173, 106980; 103.03935, 493886; 103.09505, 3790; 104.04269, 15746; 105.03389, 15639; 122.07227, 2762; 122.10139, 3111; 123.20743, 2896; 144.06552, 2801; 162.11238, 3672446; "
"36","36","Ingalls_Butyryl-L-carnitine ",261.513,"232.154 ","232.154 ","55.13899, 57247; 55.39946, 46790; 57.03423, 112342; 59.67062, 52939; 60.08149, 6291266; 67.05425, 46837; 71.04978, 959608; 78.56945, 49328; 79.50027, 58608; 80.79514, 62201; 85.02893, 61307112; 85.06985, 64914; 86.03231, 1197359; 89.06003, 98820; 92.24623, 61451; 112.85943, 66220; 134.89638, 54604; 144.10179, 1276012; 145.10597, 67098; 173.08078, 10836832; 174.0838, 406086; 185.65387, 58297; 222.7514, 141101; 225.46252, 55706; 229.20734, 64808; 232.15414, 14874404; "
"37","37","Ingalls_Aspartic acid",726.6408,"134.0448 ","134.0448 ","67.84397, 1116; 74.02425, 15194; 85.89748, 1068; 86.0968, 1497; 88.02184, 1416; 88.03981, 13279; 93.05746, 1081; 112.86497, 1012; 116.0707, 1173; 133.10519, 5710; 134.07126, 14890; 134.09645, 1452; 134.11739, 5840; "
"38","38","Ingalls_Argininosuccinic Acid",818.9832,"291.1297 ","291.1297 ","51.50809, 1124; 55.45571, 1187; 56.07184, 1047; 58.24632, 1188; 59.91003, 1184; 60.54796, 1107; 70.06576, 40235; 70.06787, 1341; 71.54814, 966; 72.08154, 1550; 88.03979, 14154; 92.46317, 1063; 96.12828, 1138; 112.08717, 2846; 113.07108, 1940; 115.08671, 14351; 116.0708, 63244; 117.07406, 1310; 128.96721, 1200; 131.04515, 8365; 133.09714, 18922; 134.04466, 8757; 145.74649, 1163; 158.05598, 12224; 158.09219, 13349; 159.03989, 1810; 159.07632, 21674; 175.11871, 1135; 176.06648, 33904; 178.74161, 1115; 197.34973, 1165; 204.98358, 1210; 217.03236, 1435; 217.04424, 21143; 228.09766, 10872; 241.98792, 2102; 242.24652, 1736; 246.10834, 12131; 250.98746, 1869; 273.11871, 5402; 274.10263, 1250; 290.26804, 2474; 291.12946, 39622; 291.24417, 1967; "
"39","39","Ingalls_Arginine ",1085.1858,"175.1189 ","175.1189 ","58.11269, 1410; 58.17702, 1343; 59.21175, 1396; 60.05633, 413294; 61.05337, 3151; 61.05972, 2549; 70.06577, 354694; 71.04971, 1331; 71.06913, 13275; 72.08138, 27856; 75.23579, 1214; 75.93615, 1374; 88.07614, 1968; 88.52563, 1184; 93.83012, 1427; 94.55261, 1349; 97.07655, 2250; 97.21855, 1409; 98.06044, 2739; 100.46675, 1137; 102.15043, 1295; 112.08312, 2175; 112.08717, 40486; 113.07117, 5365; 113.09055, 1875; 114.09141, 1535; 114.10292, 12193; 115.08694, 13126; 116.07081, 399699; 116.66594, 1183; 117.07425, 16161; 123.27161, 1181; 130.09752, 146421; 131.10097, 5338; 133.09669, 1440; 141.06563, 3039; 157.10835, 34778; 158.09235, 157160; 159.08911, 1372; 159.09575, 7580; 174.10271, 1351; 175.08653, 8351; 175.11885, 718706; "
"40","40","Ingalls_Aminobutyric Acid",686.6382,"104.0709 ","104.0709 ","50.6712, 1769; 50.88257, 1673; 53.50134, 1602; 55.90205, 1590; 57.03424, 6922; 58.06586, 81700; 60.08151, 11191; 62.06075, 3708; 62.92964, 2003; 67.86246, 2031; 68.05012, 27661; 69.03414, 267689; 70.03752, 10179; 85.05579, 1629; 86.06056, 466208; 87.04456, 1559741; 87.0638, 19034; 88.04792, 61006; 103.13148, 12640; 104.07095, 187578; 104.10735, 53980; "
