PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
24,Unknown,960,2.151155,2.192392,2.264566,172.9572,1152956.125,7670273.5,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,1.598374,172.95724:1189988 173.04359:349092 173.06349:56669 173.95676:135281 174.07753:64802 174.95419:59662 175.06168:50052 177.0582:45084 177.07764:79631,55.82237:3599 59.0126:19322 60.99058:13822 67.02892:4341 73.99848:6200 75.00627:11902 76.96885:130077 79.19548:3753 79.54041:3288 79.95601:4925 82.77304:3791 87.00627:8173 89.61102:3860 93.06979:13752 94.97948:59376 100.01415:13357 101.02196:12472 114.28637:3785 129.05354:19131 136.93613:4982 146.99619:4046 152.40157:3698 154.94647:1365140 172.95723:121364 173.11768:3851
25,Unknown,960,2.016299,2.192392,2.292192,321.1461,99222.64844,682081.8125,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,28.69403,321.14606:118467 325.18478:102803,
26,Unknown,964,1.851107,2.200132,2.506273,258.1501,1381802.5,15317753,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,352.3441,257.9393:55083 258.15012:1444832 258.92181:39543 259.15347:289853 261.03802:94329,57.36709:3257 58.27551:3695 61.98709:5314 66.8364:4163 86.69036:4170 99.76353:3399 105.95071:3568 118.51382:4770 123.61864:4305 153.77748:3686 159.03178:27426 160.63673:3927 170.79036:3735 173.04747:176674 174.05525:8382 175.74425:3602 186.0553:13448 227.16637:6162 236.14198:4005 239.91406:4326 257.93921:5308 258.14993:238455
27,Unknown,964,1.974692,2.200132,2.30791,259.1535,238346.25,1853730.875,null,[M-H]-,M + 1,isotope of 26,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,61.19287,258.92181:39543 259.15347:289853 261.03802:94329 263.34583:45046,
28,Unknown,976,2.016299,2.223082,2.420951,261.0377,93746.92188,513669.75,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,23.83423,261.03766:160209,
29,Unknown,980,2.104597,2.230552,2.497188,115.0754,12097836,77397368,null,[M-C6H10O5-H]-,M + 0,adduct linked to 31_[M-C6H10O4-H]-; similar chromatogram in higher mz_28,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,585.2204,114.93298:152896 114.93514:324825 115.03899:65595 115.07536:14165665 116.07868:896099 116.92744:3139551 116.93089:52795 116.93345:148115 117.01797:56746 117.24239:37613 117.92761:306401 118.9171:62802 118.92583:104915 120.05553:116297,54.29101:2898 54.59752:4075 65.64537:3481 71.01269:4633 71.04894:4334 73.03939:5699 73.39167:3714 97.93011:45201 100.03667:3194 105.84542:3281 108.53916:3495 111.63769:3118 114.93562:179705 115.02905:4761 115.07527:76876
30,Unknown,981,2.00476,2.234121,2.480488,116.0788,761574.125,4693748,null,[M-C6H10O5-H]-,M + 1,isotope of 29,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,38.75157,116.07876:789843 116.92749:2807856 116.93343:184715 117.01842:111633 117.92759:334965 118.03996:62763 118.9173:93316 119.01622:50090 120.05569:85051 121.02851:91083 121.05091:80808,
31,Unknown,983,2.084657,2.239575,2.28321,131.0702,39374.36719,120562.1719,null,[M-C6H10O4-H]-,M + 0,adduct linked to 29_[M-C6H10O5-H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,7.33744,131.03546:59413 131.07024:54201 131.18445:41473 132.05571:151935 133.05128:41670 134.035:125468 135.04417:54806 135.94412:195631 136.05064:75588,
32,Unknown,984,2.101205,2.241821,2.513009,99.00763,5496103.5,37856988,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,158.8322,99.00763:5879204 99.01889:90405 99.92461:121920 100.01092:199148 100.03933:83549 100.98449:158015 101.02328:92195 101.03452:39127 101.05968:116134 101.38447:36462 102.05494:118468,57.03334:10464 63.02513:3534 65.50924:3286 70.2464:3252 71.0127:8325 76.77029:3383 84.51312:3064 89.48602:3359 95.52524:3510 98.94792:15779 98.95471:8156 99.00757:19662 99.01885:32798 99.0266:8547 99.04396:8240
33,Unknown,984,2.072174,2.241821,2.360374,100.011,207334.5625,1230884,null,[M-H]-,M + 1,isotope of 32,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,13.79033,99.92461:121920 100.01092:199148 100.03933:83549 100.98449:158015 101.02328:92195 101.03452:39127 101.05968:116134 101.38447:36462 102.05494:118468,
